id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.5177630,626100000014960,2013,Bouwvergunning verleend,"gezondheidszorgfunctie, woonfunctie",53,68,12,"POLYGON Z ((90740.27099999999 459713.152 0, 90732.378 459703.98 0, 90722.22100000001 459712.721 0, 90738.85400000001 459732.049 0, 90760.45699999999 459713.459 0, 90751.716 459703.302 0, 90740.27099999999 459713.152 0))"
pand.5177843,626100000015226,2018,Bouwvergunning verleend,"bijeenkomstfunctie, industriefunctie, winkelfunctie",966,966,1,"POLYGON Z ((89648.334 459169.004 0, 89683.65300000001 459198.054 0, 89690.239 459189.973 0, 89681.69899999999 459183.014 0, 89688.93700000001 459174.133 0, 89689.889 459174.909 0, 89703.21799999999 459158.554 0, 89694.81200000001 459151.704 0, 89691.37699999999 459155.919 0, 89687.504 459152.763 0, 89681.05899999999 459160.671 0, 89684.93700000001 459163.832 0, 89681.53200000001 459168.01 0, 89682.424 459168.737 0, 89675.175 459177.632 0, 89654.821 459161.044 0, 89648.334 459169.004 0))"
pand.5177888,626100000015314,2019,Bouwvergunning verleend,woonfunctie,122,205,14,"POLYGON Z ((89127.875 457627.81 0, 89130.72100000001 457630.912 0, 89131.683 457631.166 0, 89133.205 457631.822 0, 89134.727 457632.479 0, 89136.97100000001 457634.075 0, 89138.46400000001 457635.136 0, 89139.329 457636.173 0, 89141.486 457634.373 0, 89143.22 457636.266 0, 89141.141 457638.171 0, 89141.83500000001 457638.929 0, 89142.302 457639.667 0, 89143.208 457641.215 0, 89143.51300000001 457641.735 0, 89144.24400000001 457642.984 0, 89149.83100000001 457649.219 0, 89152.175 457647.118 0, 89174.928 457627.481 0, 89169.34 457625.382 0, 89151.798 457605.94 0, 89147.917 457609.442 0, 89147.56600000001 457609.052 0, 89131.143 457623.869 0, 89131.626 457624.403 0, 89127.875 457627.81 0))"
pand.5177889,626100000015315,2019,Bouwvergunning verleend,woonfunctie,203,203,1,"POLYGON Z ((89501.535 458506.792 0, 89493.16800000001 458496.481 0, 89492.061 458495.16 0, 89486.28999999999 458499.902 0, 89495.861 458511.549 0, 89501.535 458506.792 0))"
pand.5177890,626100000015316,2019,Bouwvergunning verleend,woonfunctie,209,209,1,"POLYGON Z ((89493.16800000001 458496.481 0, 89501.535 458506.792 0, 89502.856 458508.466 0, 89508.686 458503.619 0, 89498.81600000001 458491.749 0, 89493.16800000001 458496.481 0))"
pand.5177891,626100000015317,2019,Bouwvergunning verleend,woonfunctie,203,203,1,"POLYGON Z ((89521.736 458490.063 0, 89513.486 458479.723 0, 89512.348 458478.378 0, 89506.546 458483.164 0, 89516.05 458494.688 0, 89521.736 458490.063 0))"
pand.5177892,626100000015319,2019,Bouwvergunning verleend,woonfunctie,209,209,1,"POLYGON Z ((89513.486 458479.723 0, 89521.736 458490.063 0, 89523.11599999999 458491.766 0, 89529.03200000001 458486.975 0, 89519.121 458475.031 0, 89513.486 458479.723 0))"
pand.5177893,626100000015321,2019,Bouwvergunning verleend,woonfunctie,237,237,1,"POLYGON Z ((89567.295 458477.594 0, 89577.893 458490.431 0, 89584.05100000001 458485.347 0, 89573.378 458472.419 0, 89567.295 458477.594 0))"
pand.5177894,626100000015323,2019,Bouwvergunning verleend,woonfunctie,203,203,1,"POLYGON Z ((89542.008 458473.346 0, 89533.817 458462.947 0, 89532.67999999999 458461.607 0, 89526.83900000001 458466.413 0, 89536.363 458477.99 0, 89542.008 458473.346 0))"
pand.5177895,626100000015325,2019,Bouwvergunning verleend,woonfunctie,237,237,1,"POLYGON Z ((89545.791 458451.511 0, 89556.447 458464.406 0, 89562.61199999999 458459.312 0, 89551.96400000001 458446.427 0, 89545.791 458451.511 0))"
